Product Name,Manufacturer,Model Codes,Sport,Category,Subcategory,Canonical ID,Image Path,Image URL
Full Tennis Court Cover,FULL TENNIS,TS-TCC,court-materials-accessories,clay-court-materials,polyethylene-court-covers-6oz,FULL TENNIS TS-TCC,images/product_118.jpg,https://tomkosports.com/wp-content/uploads/2019/12/30105-e1575917908146-440x274.jpg
In-Ground Net Rebounders,IN-GROUND NET,TB-RBNIG ; TB-RBNIG10,tennis,rebounders,in-ground-court-rebound-net,IN-GROUND NET TB-RBNIG,images/product_119.jpg,https://tomkosports.com/wp-content/uploads/2019/12/In-Ground-Rebounder-5-440x440.jpg
Rebounder Deluxe,REBOUNDER DELUXE,TB-RBND,tennis,rebounders,rebounder-deluxe,REBOUNDER DELUXE TB-RBND,images/product_120.jpg,https://tomkosports.com/wp-content/uploads/2022/07/rebounder-deluxe-440x378.jpg
Rally Master Backboard,RALLY MASTER,TB-RM2,tennis,rebounders,rally-master,RALLY MASTER TB-RM2,images/product_121.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Tomar-Park-Sioux-Falls-SD2.jpg
Rally Master Catch Net,RALLY MASTER,TB-RM3,tennis,rebounders,rally-master-catch-net,RALLY MASTER TB-RM3,images/product_122.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Rally-Master-Catch-Net-440x441.jpg
Scor-Post® Pro,SCOR-POST® PRO,TA-SCP ; TA-SCPS ; TA-CSPM,accessories,ball-pick-ups,scorekeepers,SCOR-POST® PRO TA-SCP,images/product_123.jpg,https://tomkosports.com/wp-content/uploads/2021/03/Scor-post-440x411.jpg
Professional Tennis Scorekeeper,PROFESSIONAL TENNIS,TA-PTSKP,accessories,ball-pick-ups,scorekeepers,PROFESSIONAL TENNIS TA-PTSKP,images/product_124.jpg,https://tomkosports.com/wp-content/uploads/2023/06/pro-tennis-scorekeeper-440x481.jpg
LoveOne Pickleball Scoreboard,LOVEONE PICKLEBALL,TA-LOP,accessories,ball-pick-ups,scorekeepers,LOVEONE PICKLEBALL TA-LOP,images/product_125.jpg,https://tomkosports.com/wp-content/uploads/2020/04/LoveOne-pickleball-scorekeeper-durable-visible-easy-140-3503_1024x1024-440x587.gif
Court Numbers,COURT NUMBERS,TA-CNB-G,accessories,ball-pick-ups,court-numbers,COURT NUMBERS TA-CNB-G,images/product_126.jpg,https://tomkosports.com/wp-content/uploads/2019/11/140-01GN_x448.jpg
Fence Cabana,FENCE CABANA,TW-FC,accessories,shade-structures,fence-cabana,FENCE CABANA TW-FC,images/product_127.jpg,https://tomkosports.com/wp-content/uploads/2023/05/shade-structure-440x427.jpg
