ProductURL,ProductName,ModelCodes,Sport,Category,Subcategory,ImageURL,ImagePath,Manufacturer,ManufacturerPrefix,ManufacturerConfidence,ManufacturerMethod
https://tomkosports.com/shop/accessories/ball-pick-ups/court-numbers/court-numbers/,Court Numbers,TA-CNB-G,accessories,ball-pick-ups,court-numbers,https://tomkosports.com/wp-content/uploads/2019/11/140-01GN_x448.jpg,images/product_127.png,Unknown,CNB,low,none
https://tomkosports.com/shop/accessories/shade-structures/fence-cabana/,Fence Cabana,TW-FC,accessories,shade-structures,fence-cabana,https://tomkosports.com/wp-content/uploads/2023/05/shade-structure-440x427.jpg,images/product_128.png,Unknown,FC,low,none
https://tomkosports.com/shop/accessories/ball-pick-ups/scorekeepers/score-reporter-number-set/,PRO SCOREKEEPER NUMBER SET,TA-PSCNUMT,accessories,ball-pick-ups,scorekeepers,https://tomkosports.com/wp-content/uploads/2021/03/pro-tennis-scorekeeper-numbers-440x439.png,images/product_129.png,Unknown,PSCNUMT,low,none
https://tomkosports.com/shop/accessories/court-lighting/overhead-led-court-lighting/,Overhead LED Court Lighting,TL-VUE,accessories,court-lighting,overhead-led-court-lighting,https://tomkosports.com/wp-content/uploads/2019/12/VueTennis_solo-scaled-e1575492937767-440x440.png,images/product_130.png,Unknown,VUE,low,none
https://tomkosports.com/shop/volleyball/outdoor-volleyball-system-with-net/,3″/3.5″ SQ Outdoor Volleyball System,SV-VBS3SQ ; SV-VBS3,volleyball,outdoor-volleyball-system-with-net,,https://tomkosports.com/wp-content/uploads/2019/12/65115-1-1-440x440.jpg,images/product_131.png,Unknown,VBS3SQ;VBS3,low,none
https://tomkosports.com/shop/volleyball/portable-badminton-game-standards/,Portable Badminton Game Standards,SG-PBS,volleyball,portable-badminton-game-standards,,https://tomkosports.com/wp-content/uploads/2021/09/Badminton-Portable-440x430.jpg,images/product_132.png,Unknown,PBS,low,none
https://tomkosports.com/shop/volleyball/competition-volleyball-net/,Tomko Competition Volleyball Net,SV-N1000,volleyball,competition-volleyball-net,,https://tomkosports.com/wp-content/uploads/2019/12/31PjIOuvueL._SX342_.jpg,images/product_133.png,Unknown,N1000,low,none
https://tomkosports.com/shop/volleyball/volleyball-antenna/,VOLLEYBALL ANTENNA,SV-VBANT,volleyball,volleyball-antenna,,https://tomkosports.com/wp-content/uploads/2024/05/antennas-440x459.jpg,images/product_134.png,Unknown,VBANT,low,none
https://tomkosports.com/shop/hockey-lacrosse/box-lacrosse-goals-nets/,Box Lacrosse Goals Nets,SH-BLN,hockey-lacrosse,box-lacrosse-goals-nets,,https://tomkosports.com/wp-content/uploads/2019/12/SH-BLN-300x225-1.jpg,images/product_135.png,Unknown,BLN,low,none
https://tomkosports.com/shop/hockey-lacrosse/official-field-hockey-goal/,Official Field Hockey Goal,SS-FHG,hockey-lacrosse,official-field-hockey-goal,,https://tomkosports.com/wp-content/uploads/2019/12/fhg2al712pb-field-hockey-goal-made-of-2-inch-square-aluminum-with-poly-boards-440x440.jpg,images/product_136.png,Unknown,FHG,low,none
https://tomkosports.com/shop/field-equipment/field-marking/standard-4-wheel-line-marker-2/,Standard 4-Wheel Line Marker,SF-LM65 ; SF-LMHD50 ; SF-LMHD100,field-equipment,field-marking,standard-4-wheel-line-marker-2,https://tomkosports.com/wp-content/uploads/2021/09/Dry-Line-Marker-4-wheel-1-440x430.jpg,images/product_137.png,Unknown,LM65;LMHD50;LMHD100,low,none
https://tomkosports.com/shop/field-equipment/field-marking/premium-4-wheel-rust-oleum-aerosol-spray-liner/,Athletic 4-Wheel Aerosol Striping Machine,SF-SSL,field-equipment,field-marking,premium-4-wheel-rust-oleum-aerosol-spray-liner,https://tomkosports.com/wp-content/uploads/2019/12/4-wheel-aerosol-machine-440x430.jpg,images/product_138.png,Unknown,SSL,low,none
https://tomkosports.com/shop/field-equipment/field-marking/standard-2-wheel-line-marker/,Standard 2-Wheel Line Marker,SF-LM15 ; SF-LM25,field-equipment,field-marking,standard-2-wheel-line-marker,https://tomkosports.com/wp-content/uploads/2021/09/Dry-Line-Marker-2-wheel-440x430.jpg,images/product_139.png,Unknown,LM15;LM25,low,none
https://tomkosports.com/shop/field-equipment/field-marking/field-lazer-airless-line-striper-s100/,Field Lazer Airless Line Striper S100,SF-LAZERS100,field-equipment,field-marking,field-lazer-airless-line-striper-s100,https://tomkosports.com/wp-content/uploads/2021/09/Airless-Line-STriper-440x430.jpg,images/product_140.png,Unknown,LAZERS100,low,none
https://tomkosports.com/shop/field-equipment/field-marking/line-lazer-gas-airless-line-striper-3400/,Line Lazer Gas Airless Line Striper 3400,SF-LAZER3400,field-equipment,field-marking,line-lazer-gas-airless-line-striper-3400,https://tomkosports.com/wp-content/uploads/2021/09/Airless-Line-Striper-3400-440x430.jpg,images/product_141.png,Unknown,LAZER3400,low,none
https://tomkosports.com/shop/field-equipment/field-marking/missisouri-turf-water-based-aerosol-field-striping-paint/,Water-Based Aerosol Field Striping Paint,SF-SAFP ; SF-SAFPY ; SF-SAFPO,field-equipment,field-marking,missisouri-turf-water-based-aerosol-field-striping-paint,https://tomkosports.com/wp-content/uploads/2019/12/Seymour-20-644-Stripe-Athletic-Field-Marking-Spray-Paint-White-18-Oz-440x440.jpg,images/product_142.png,Unknown,SAFP;SAFPY;SAFPO,low,none
https://tomkosports.com/shop/basketball/institutional-systems/complete-endurance-systems/,Complete Endurance® Systems,SB-ESUG ; SB-EGBA ; SB-EABA ; SB-EPBA,basketball,institutional-systems,complete-endurance-systems,https://tomkosports.com/wp-content/uploads/2019/12/GP106A6020pic_MAIN-e1575481785845-440x440.jpg,images/product_143.png,Unknown,ESUG;EGBA;EABA;EPBA,low,none
https://tomkosports.com/shop/court-surfacing-materials/picklepave/,PicklePave,CP-PP,court-surfacing-materials,picklepave,,https://tomkosports.com/wp-content/uploads/2020/01/picklepave-1-768x1005-1-e1579293228438-440x665.jpg,images/product_144.png,Unknown,PP,low,none
https://tomkosports.com/shop/court-surfacing-materials/plexipave-surfacing-systems/,Plexipave,CP-FORT,court-surfacing-materials,plexipave-surfacing-systems,,https://tomkosports.com/wp-content/uploads/2019/12/Plexipave-440x449.jpg,images/product_145.png,Unknown,FORT,low,none
